Title,Time,Artist,Album,Genre,Loved,Rating,Plays,Date Added,Last Played
Painted Lenses,3:20,Aaron and Jo,Painted Lenses - Single,Metal,0,,2,20/10/21 6:39,20/10/21 17:39
Semi-bionic,3:19,William Doyle,Great Spans of Muddy Time,Alternative,0,,4,12/10/21 13:43,20/10/21 6:54
Let Down (Remastered),4:59,Radiohead,OK Computer OKNOTOK 1997 2017,Alternative,2,,12,23/06/17 21:46,19/10/21 12:47
Brianstorm,2:52,Arctic Monkeys,Favourite Worst Nightmare,Rock,0,,33,08/12/07 16:08,18/10/21 13:47
Balaclava,2:51,Arctic Monkeys,Favourite Worst Nightmare,Rock,0,,25,08/12/07 16:08,18/10/21 13:44
Fluorescent Adolescent,3:00,Arctic Monkeys,Favourite Worst Nightmare,Rock,2,,59,08/12/07 16:08,18/10/21 13:38
505,4:14,Arctic Monkeys,Favourite Worst Nightmare,Rock,0,,40,08/12/07 16:08,18/10/21 13:35
Old Yellow Bricks,3:13,Arctic Monkeys,Favourite Worst Nightmare,Rock,0,,41,08/12/07 16:08,18/10/21 13:31
Crying Lightning,3:43,Arctic Monkeys,Humbug (Bonus Track Version),Alternative,0,,44,25/01/18 7:53,18/10/21 13:28
D Is for Dangerous,2:18,Arctic Monkeys,Favourite Worst Nightmare,Rock,0,,24,08/12/07 16:08,18/10/21 13:24
Do Me a Favour,3:29,Arctic Monkeys,Favourite Worst Nightmare,Rock,0,,64,08/12/07 16:08,18/10/21 6:51
"If You Were There, Beware",4:36,Arctic Monkeys,Favourite Worst Nightmare,Rock,0,,17,08/12/07 16:08,18/10/21 6:47
Bigger Boys and Stolen Sweethearts,3:01,Arctic Monkeys,I Bet You Look Good On the Dancefloor - EP,Alternative,0,,16,15/12/18 17:28,18/10/21 6:43
Only Ones Who Know,3:05,Arctic Monkeys,Favourite Worst Nightmare,Rock,0,,41,08/12/07 16:08,18/10/21 6:40
Still,3:33,Daughter,If You Leave,Alternative,2,,7,17/03/19 23:53,17/10/21 22:51
Youth,4:13,Daughter,If You Leave,Alternative,0,,7,17/03/19 23:53,17/10/21 22:48
Smother,4:01,Daughter,If You Leave,Alternative,0,,8,17/03/19 23:53,17/10/21 22:43
Winter,4:42,Daughter,If You Leave,Alternative,0,,7,17/03/19 23:53,17/10/21 22:39
Electioneering,3:51,Radiohead,OK Computer,Alternative & Punk,0,,3,30/06/15 18:58,15/10/21 13:41
Para Qué Sufrir,3:47,Natalia Lafourcade,Hasta la Raíz (Edición Especial),Pop Latino,0,,1,15/10/21 13:12,15/10/21 13:37
Lo Que Construimos,4:39,Natalia Lafourcade,Hasta la Raíz (Edición Especial),Pop Latino,0,,1,15/10/21 13:12,15/10/21 13:33
Ya No Te Puedo Querer,4:47,Natalia Lafourcade,Hasta la Raíz (Edición Especial),Pop Latino,0,,1,15/10/21 13:12,15/10/21 13:28
Antes de Huir,3:52,Natalia Lafourcade,Hasta la Raíz (Edición Especial),Pop Latino,0,,1,15/10/21 13:12,15/10/21 13:24
Hasta la Raíz,3:42,Natalia Lafourcade,Hasta la Raíz (Edición Especial),Pop Latino,0,,1,15/10/21 13:12,15/10/21 13:20
Nunca Es Suficiente,3:57,Natalia Lafourcade,Hasta la Raíz (Edición Especial),Pop Latino,0,,1,15/10/21 13:12,15/10/21 13:16
Speedway,3:18,black midi,Schlagenheim,Alternative,0,,2,26/06/19 4:59,15/10/21 7:02
"Oh Yeah, You Gonna Cry?",2:50,Lovejoy,Pebble Brain,Rock,0,,1,15/10/21 6:36,15/10/21 6:51
Worn / Wander,3:36,Vundabar,Gawk,Pop,0,,1,12/10/21 6:34,13/10/21 13:23
"Villotte alla Padoana: No. 1, Chi passa per 'sta strada (1557 Version) [Arr. E. Rice for Voice & Lute]",1:54,"Lawrence Jones, Nathaniel Cox & Eric Rice",Le nozze in Baviera,Classical,0,,1,22/01/21 20:46,13/10/21 13:09
Lux,1:29,Jane Weaver,Flock,Alternative,0,,3,04/03/21 23:18,13/10/21 13:02
crawling in my skin,4:18,Soccer Mommy,color theory,Alternative,0,,2,20/06/20 18:07,13/10/21 13:00
Test Me,3:55,The xx,I See You,Alternative,0,,3,13/01/17 11:15,13/10/21 12:56
Flamenco Sketches (Alternate Take),9:32,Miles Davis,Kind Of Blue,Jazz,0,,3,30/06/15 18:58,13/10/21 12:51
Rock the House,4:09,Gorillaz,Gorillaz,Alternative,0,,1,14/02/18 16:41,13/10/21 7:14
Sound Check (Gravity),4:43,Gorillaz,Gorillaz,Alternative,0,,1,14/02/18 16:41,13/10/21 7:10
Starshine,3:34,Gorillaz,Gorillaz,Alternative,0,,1,14/02/18 16:41,13/10/21 7:05
Slow Country,3:38,Gorillaz,Gorillaz,Alternative,0,,1,14/02/18 16:41,13/10/21 7:02
Tomorrow Comes Today,3:14,Gorillaz,Gorillaz,Alternative,0,,1,14/02/18 16:41,13/10/21 6:58
Punk,1:39,Gorillaz,Gorillaz,Alternative,0,,1,14/02/18 16:41,13/10/21 6:55
19-2000 (Soulchild Remix),3:29,Gorillaz,Gorillaz,Alternative,0,,2,14/02/18 16:41,13/10/21 6:53
Dare,4:04,Gorillaz,Demon Days,Alternative,0,,1,13/10/21 6:41,13/10/21 6:50
Clint Eastwood,5:43,Gorillaz,Gorillaz,Alternative,0,,11,14/02/18 16:41,13/10/21 6:46
Garden Song,3:40,Phoebe Bridgers,Punisher,Alternative,0,,6,17/11/20 21:11,13/10/21 6:39
Miss You,3:32,Polly Scattergood,Arrows,Pop,0,,6,20/11/20 16:39,12/10/21 13:14
She's Creeping,3:24,Royal Blood,How Did We Get So Dark?,Alternative,2,,6,29/06/17 23:39,12/10/21 13:10
Satisfied,5:29,"Original Broadway Cast of ""Hamilton"" & Renée Elise Goldsberry",Hamilton: An American Musical (Original Broadway Cast Recording),Soundtrack,0,,1,06/01/21 14:36,11/10/21 13:52
Helpless,4:10,"Phillipa Soo & Original Broadway Cast of ""Hamilton""",Hamilton: An American Musical (Original Broadway Cast Recording),Soundtrack,0,,1,06/01/21 14:36,11/10/21 13:47
A Winter's Ball,1:10,"Leslie Odom, Jr., Lin-Manuel Miranda & Original Broadway Cast of ""Hamilton""",Hamilton: An American Musical (Original Broadway Cast Recording),Soundtrack,0,,1,06/01/21 14:36,11/10/21 13:43
The Election of 1800,3:58,"Daveed Diggs, Okieriete Onaodowan, Leslie Odom, Jr., Lin-Manuel Miranda & Original Broadway Cast of ""Hamilton""",Hamilton: An American Musical (Original Broadway Cast Recording),Soundtrack,0,,1,06/01/21 14:36,11/10/21 13:38
Right Hand Man,5:22,"Christopher Jackson, Lin-Manuel Miranda, Leslie Odom, Jr. & Original Broadway Cast of ""Hamilton""",Hamilton: An American Musical (Original Broadway Cast Recording),Soundtrack,0,,1,06/01/21 14:36,11/10/21 13:34
You'll Be Back,3:28,"Jonathan Groff & Original Broadway Cast of ""Hamilton""",Hamilton: An American Musical (Original Broadway Cast Recording),Soundtrack,0,,1,06/01/21 14:36,11/10/21 13:29
Farmer Refuted,1:53,"Thayne Jasperson, Lin-Manuel Miranda & Original Broadway Cast of ""Hamilton""",Hamilton: An American Musical (Original Broadway Cast Recording),Soundtrack,0,,2,06/01/21 14:36,11/10/21 13:25
The Schuyler Sisters,3:07,"Phillipa Soo, Jasmine Cephas-Jones, Leslie Odom, Jr., Original Broadway Cast of ""Hamilton"" & Renée Elise Goldsberry",Hamilton: An American Musical (Original Broadway Cast Recording),Soundtrack,0,,1,06/01/21 14:36,11/10/21 6:51
The Story of Tonight,1:32,"Lin-Manuel Miranda, Anthony Ramos, Okieriete Onaodowan, Daveed Diggs & Original Broadway Cast of ""Hamilton""",Hamilton: An American Musical (Original Broadway Cast Recording),Soundtrack,0,,1,06/01/21 14:36,11/10/21 6:48
My Shot,5:33,"Lin-Manuel Miranda, Anthony Ramos, Daveed Diggs, Okieriete Onaodowan, Leslie Odom, Jr. & Original Broadway Cast of ""Hamilton""",Hamilton: An American Musical (Original Broadway Cast Recording),Soundtrack,0,,1,06/01/21 14:36,11/10/21 6:47
"Aaron Burr, Sir",2:37,"Lin-Manuel Miranda, Leslie Odom, Jr., Anthony Ramos, Daveed Diggs & Okieriete Onaodowan",Hamilton: An American Musical (Original Broadway Cast Recording),Soundtrack,0,,1,06/01/21 14:36,11/10/21 6:41
Alexander Hamilton,3:57,"Leslie Odom, Jr., Anthony Ramos, Daveed Diggs, Okieriete Onaodowan, Lin-Manuel Miranda, Phillipa Soo, Christopher Jackson & Original Broadway Cast of ""Hamilton""",Hamilton: An American Musical (Original Broadway Cast Recording),Soundtrack,0,,1,06/01/21 14:36,11/10/21 6:38
Alisons Starting to Happen,1:59,The Lemonheads,The 90's Studio Album Collection,Rock,2,,5,29/08/15 23:21,08/10/21 13:43
The Lovecats,3:40,The Cure,The Cure: Greatest Hits,Pop,0,,18,12/02/18 18:42,08/10/21 6:49
Pictures of You,7:28,The Cure,Disintegration,Alternative,0,,1,08/10/21 6:37,08/10/21 6:45
Boys Don't Cry,2:43,The Cure,The Cure: Greatest Hits,Pop,0,,6,12/02/18 18:42,08/10/21 6:38
Diamond Stuff,6:21,black midi,Cavalcade,Alternative,0,,3,29/05/21 21:31,07/10/21 17:03
Up Jumped The Devil,5:17,Nick Cave & The Bad Seeds,Tender Prey,Rock,0,,2,30/06/15 18:58,07/10/21 16:46
Out of the Black,4:01,Royal Blood,Royal Blood,Alternative,0,,4,10/09/14 20:04,07/10/21 7:26
Nature Boy,3:33,Wild Beasts,Present Tense (Bonus Track Version),Alternative,0,,1,26/01/15 0:04,07/10/21 7:21
Alien Days,5:10,MGMT,"MGMT (The ""Optimizer"" Deluxe Edition)",Alternative,0,,3,29/09/20 16:52,07/10/21 7:01
Tslamp,4:30,MGMT,Little Dark Age,Alternative,0,,1,29/09/20 16:52,07/10/21 6:56
Favourite,2:33,Sorry,Twixtustwain - EP,Alternative,0,,2,12/07/21 22:44,03/10/21 22:36
Cigarette Packet,2:18,Sorry,Twixtustwain - EP,Alternative,0,,2,12/07/21 22:44,03/10/21 22:34
Separate,2:58,Sorry,Twixtustwain - EP,Alternative,0,,2,12/07/21 22:44,03/10/21 22:32
Things to Hold Onto,1:57,Sorry,Twixtustwain - EP,Alternative,0,,2,12/07/21 22:44,03/10/21 22:29
Don't Be Scared,2:34,Sorry,Twixtustwain - EP,Alternative,0,,2,12/07/21 22:44,03/10/21 22:27
I've Got a Heart,5:19,Polly Scattergood,Arrows,Pop,0,,4,20/11/20 16:39,03/10/21 22:04
Wanderlust,4:20,Polly Scattergood,Arrows,Pop,0,,4,20/11/20 16:39,03/10/21 21:59
Silver Lining,5:14,Polly Scattergood,Arrows,Pop,0,,4,20/11/20 16:39,03/10/21 21:54
Subsequently Lost,4:18,Polly Scattergood,Arrows,Pop,0,,4,20/11/20 16:39,03/10/21 21:49
Colours Colliding,4:14,Polly Scattergood,Arrows,Pop,0,,4,20/11/20 16:39,03/10/21 21:41
Disco Damaged Kid,3:41,Polly Scattergood,Arrows,Pop,0,,4,20/11/20 16:39,03/10/21 21:37
Machines,4:30,Polly Scattergood,Arrows,Pop,0,,4,20/11/20 16:39,03/10/21 21:33
Falling,4:32,Polly Scattergood,Arrows,Pop,0,,4,20/11/20 16:39,03/10/21 21:29
Cocoon,4:36,Polly Scattergood,Arrows,Pop,0,,5,20/11/20 16:39,03/10/21 21:23
Don't Tell Me I'm Wrong,3:36,Jane Weaver,Sunset Dreams,Alternative,0,,1,03/10/21 18:01,03/10/21 21:18
Solarised (W. H. Lung Remix),7:34,Jane Weaver,Sunset Dreams,Alternative,2,,1,03/10/21 18:01,03/10/21 21:14
The Revolution of Super Visions (See Thru Hands Remix),3:27,Jane Weaver,Sunset Dreams,Alternative,0,,2,03/10/21 18:01,03/10/21 18:53
The Lexical Distance,4:31,Jane Weaver,Sunset Dreams,Alternative,0,,2,03/10/21 18:01,03/10/21 18:50
Sunset Dreams,4:28,Jane Weaver,Sunset Dreams,Alternative,0,,2,03/10/21 18:01,03/10/21 18:37
Bending Surges,3:35,Son Lux,Tomorrows Reworks,Alternative,0,,1,03/10/21 18:01,03/10/21 18:32
Come Recover (Emily Wells Rework),4:30,Son Lux & Emily Wells,Tomorrows Reworks,Alternative,0,,1,03/10/21 18:01,03/10/21 18:29
Unbind (Black Taffy Rework),4:09,Son Lux & Black Taffy,Tomorrows Reworks,Alternative,0,,1,03/10/21 18:01,03/10/21 18:24
Plans We Made (Jon Bap Rework),2:35,Son Lux & Jon Bap,Tomorrows Reworks,Alternative,0,,1,03/10/21 18:01,03/10/21 18:20
Live Another Life (Heal for Me),4:01,Son Lux & Nappy Nina,Tomorrows Reworks,Alternative,0,,1,03/10/21 18:01,03/10/21 18:17
Honesty (Lotic Rework),3:26,Son Lux & Lotic,Tomorrows Reworks,Alternative,0,,1,03/10/21 18:01,03/10/21 18:13
Climbing Air,1:23,Son Lux,Tomorrows Reworks,Alternative,0,,1,03/10/21 18:01,03/10/21 18:10
Come Recover (Alternate Version),2:19,Son Lux,Tomorrows Reworks,Alternative,0,,1,03/10/21 18:01,03/10/21 18:09
Vacancy (No One Near),3:29,Son Lux & lojii,Tomorrows Reworks,Alternative,0,,1,03/10/21 18:01,03/10/21 18:06
Molecules (Lucrecia Dalt Rework),2:57,Son Lux & Lucrecia Dalt,Tomorrows Reworks,Alternative,0,,1,03/10/21 18:01,03/10/21 18:03
Only (Chasing You),4:16,Son Lux & William Bell,Tomorrows Reworks,Alternative,0,,1,03/10/21 18:01,03/10/21 18:00
Undertow (Wounds Repeat),3:39,Son Lux & Cavalier,Tomorrows Reworks,Alternative,0,,1,03/10/21 18:01,03/10/21 17:56
Haruka Kanata,4:03,Asian Kung-Fu Generation,Destructive Amplifier - EP,Rock,0,,3,15/10/19 16:50,01/10/21 13:33
You Only Live Once,3:10,The Strokes,First Impressions of Earth,Alternative,0,,22,29/01/06 21:36,01/10/21 13:25
Under Control,3:07,The Strokes,Room On Fire,Garage Rock Revival,0,,9,30/06/15 18:58,01/10/21 6:55
The End Has No End,3:08,The Strokes,Room On Fire,Garage Rock Revival,0,,15,30/06/15 18:58,01/10/21 6:46
I Can't Win,2:34,The Strokes,Room On Fire,Garage Rock Revival,0,,15,30/06/15 18:58,01/10/21 6:37
Magic Spells,6:07,Crystal Castles,Crystal Castles,Electronic,0,,1,27/09/21 6:33,29/09/21 13:36
The Suburbs,5:15,Arcade Fire,The Suburbs (Deluxe),Alternative,0,,4,27/01/20 7:20,28/09/21 21:24
The National Anthem,5:52,Radiohead,Kid A,Alternative,0,,2,23/09/19 6:35,28/09/21 13:20
Death Horizon,2:05,Pixies,Beneath the Eyrie (Deluxe),Alternative,2,,5,28/09/19 21:31,28/09/21 13:14
The Drowners,4:10,Suede,Suede (Remastered),Alternative,2,,7,07/02/16 13:32,28/09/21 13:11
Carin at the Liquor Store,3:34,The National,Sleep Well Beast,Alternative,0,,6,27/09/17 21:57,28/09/21 13:05
Nail In My Coffin,3:33,The Kills,Blood Pressures,Alternative,0,,4,27/09/17 7:47,28/09/21 13:01
"But, Honestly",4:36,Foo Fighters,"Echoes, Silence, Patience & Grace",Rock,2,,6,02/10/07 18:42,28/09/21 7:12
Luno,3:57,Bloc Party,Silent Alarm,Alternative,0,,4,21/09/21 6:36,28/09/21 7:07
City's Full,3:27,Savages,Silence Yourself,Alternative,2,,11,25/03/16 18:56,28/09/21 7:03
Untrust Us,3:06,Crystal Castles,Crystal Castles,Electronic,0,,2,27/09/21 6:33,28/09/21 6:52
Xxzxcuzx Me,1:54,Crystal Castles,Crystal Castles,Electronic,0,,1,27/09/21 6:33,27/09/21 13:46
Black Panther,2:57,Crystal Castles,Crystal Castles,Electronic,0,,1,27/09/21 6:33,27/09/21 13:44
Reckless,3:28,Crystal Castles,Crystal Castles,Electronic,0,,2,27/09/21 6:33,27/09/21 13:35
Temptation Greets You Like Your Naughty Friend,3:27,Arctic Monkeys,Brianstorm - Single,Alternative,0,,27,05/11/18 7:13,24/09/21 13:30
Vertigo (feat. Alex Turner),4:58,Mini Mansions,The Great Pretenders,Rock,0,,6,17/01/20 7:45,24/09/21 13:26
What a Waster,3:01,The Libertines,What a Waster - EP,Alternative,0,,1,24/09/21 13:18,24/09/21 13:21
I Bet You Look Good On the Dancefloor,2:54,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",Alternative,0,,39,03/02/06 0:45,24/09/21 7:00
Perhaps Vampires Is a Bit Strong But…,4:29,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",Alternative,0,,8,03/02/06 0:45,24/09/21 6:57
Come As You Are,3:39,Nirvana,Nevermind,Rock,0,,1,30/06/15 18:58,24/09/21 6:52
You Probably Couldn't See for the Lights But You Were Looking Straight At Me,2:11,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",Alternative,0,,20,03/02/06 0:45,24/09/21 6:39
Dancing Shoes,2:21,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",Alternative,0,,19,03/02/06 0:45,23/09/21 13:48
Riot Van,2:15,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",Alternative,0,,27,03/02/06 0:45,23/09/21 13:37
Stuck On the Puzzle,3:31,Alex Turner,Submarine - EP,Alternative,0,,23,21/05/18 6:11,23/09/21 13:35
La Dosis Perfecta,4:16,Panteón Rococó,A la Izquierda de la Tierra,Latin,0,,9,02/02/20 14:22,23/09/21 13:31
Desire,3:51,Anna Calvi,Anna Calvi,Alternative,0,,4,30/09/11 12:08,23/09/21 7:04
Blunderbuss,3:07,Jack White,Blunderbuss,Alternative,0,,3,09/10/12 18:00,23/09/21 7:00
Where Water Flows,1:57,Calexico,The Black Light,Alternative & Punk,0,,1,30/06/15 18:58,23/09/21 6:56
Heywood Lane,2:52,Gorky's Zygotic Mynci,Barafundle,Rock,0,,1,14/03/20 19:50,23/09/21 6:54
Mardy Bum,2:55,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",Alternative,3,,106,03/02/06 0:45,23/09/21 6:36
A Forest (Shortened Edit),4:44,The Cure,The Cure: Greatest Hits,Pop,0,,2,12/02/18 18:42,22/09/21 6:53
Chismiten,4:59,Mdou Moctar,Afrique Victime,Rock,0,,4,14/06/21 20:50,21/09/21 13:36
Hi-Five,2:58,Angel Olsen,Burn Your Fire For No Witness,Alternative,0,,5,21/01/21 20:56,20/09/21 22:28
Mamar (Mamá),3:58,Molotov,Con Todo Respeto,Alternative & Punk,0,,1,30/06/15 18:58,20/09/21 13:51
Gimme Tha Power,4:10,Molotov,¿Dónde Jugarán las Niñas?,Pop,0,,34,05/05/18 11:50,20/09/21 13:47
Frijolero,3:30,Molotov,Dance and Dense Denso,Latin Rock,0,,23,30/06/15 18:58,20/09/21 13:43
Hit Me,4:16,Molotov,Dance and Dense Denso,Rock y Alternativo,0,,11,06/03/19 16:22,20/09/21 13:39
I'm The One,3:20,Molotov,Dance and Dense Denso,Latin Rock,0,,14,30/06/15 18:58,20/09/21 6:58
Here We Kum,4:14,Molotov,Dance and Dense Denso,Latin Rock,0,,27,30/06/15 18:58,20/09/21 6:55
Dance And Dense Denso,1:52,Molotov,Dance and Dense Denso,Latin Rock,0,,16,30/06/15 18:58,20/09/21 6:51
E. Charles White,3:38,Molotov,Dance and Dense Denso,Latin Rock,0,,8,30/06/15 18:58,20/09/21 6:48
No Me Da Mi Navidad (Punketon),4:38,Molotov,Dance and Dense Denso,Latin Rock,0,,4,30/06/15 18:58,20/09/21 6:44
Queremos Pastel,3:12,Molotov,Dance and Dense Denso,Latin Rock,0,,1,30/06/15 18:58,20/09/21 6:39
My Life's Alright Without You,2:00,No Age,Weirdo Rippers,Rock,0,,9,30/06/15 18:58,17/09/21 0:46
Deeper Into Movies,5:23,Yo La Tengo,I Can Hear The Heart Beating As One,Alternative,0,,1,30/06/15 18:58,17/09/21 0:41
The Price You Pay (It Must Be Wearing off),7:08,Low,Hey What,Alternative,0,,1,09/09/21 22:10,17/09/21 0:33
More,2:11,Low,Hey What,Alternative,0,,2,09/09/21 6:29,17/09/21 0:26
Don't Walk Away,4:07,Low,Hey What,Alternative,0,,1,09/09/21 22:10,17/09/21 0:24
There's a Comma After Still,1:52,Low,Hey What,Alternative,0,,1,09/09/21 22:10,17/09/21 0:07
Days Like These,5:21,Low,Hey What,Alternative,0,,2,09/09/21 6:29,17/09/21 0:05
Hey,7:41,Low,Hey What,Alternative,0,,1,09/09/21 22:10,17/09/21 0:00
Disappearing,3:32,Low,Hey What,Alternative,0,,3,09/09/21 6:29,16/09/21 23:52
I Can Wait,4:02,Low,Hey What,Alternative,0,,1,09/09/21 22:10,16/09/21 23:49
White Horses,5:04,Low,Hey What,Alternative,0,,1,09/09/21 22:10,16/09/21 23:45
The Inevitable Factor (Alternate Vox),4:38,Celtic Frost,Into the Pandemonium,Metal,0,,1,13/09/21 20:56,13/09/21 21:56
One in Their Pride (Re-Entry Mix),5:56,Celtic Frost,Into the Pandemonium,Metal,0,,1,13/09/21 20:56,13/09/21 21:51
In the Chapel in the Moonlight,2:04,Celtic Frost,Into the Pandemonium,Metal,0,,1,13/09/21 20:56,13/09/21 21:45
The Inevitable Factor,4:38,Celtic Frost,Into the Pandemonium,Metal,0,,1,13/09/21 20:56,13/09/21 21:43
Sorrows of the Moon,3:04,Celtic Frost,Into the Pandemonium,Metal,0,,1,13/09/21 20:56,13/09/21 21:39
Oriental Masquerade,1:15,Celtic Frost,Into the Pandemonium,Metal,0,,1,13/09/21 20:56,13/09/21 21:35
Rex Irae (Requiem),5:59,Celtic Frost,Into the Pandemonium,Metal,0,,1,13/09/21 20:56,13/09/21 21:34
I Won't Dance (The Elders' Orient),4:33,Celtic Frost,Into the Pandemonium,Metal,0,,1,13/09/21 20:56,13/09/21 21:28
One in Their Pride (Porthole Mix),2:51,Celtic Frost,Into the Pandemonium,Metal,0,,1,13/09/21 20:56,13/09/21 21:24
Caress into Oblivion (Jade Serpent II),5:14,Celtic Frost,Into the Pandemonium,Metal,0,,1,13/09/21 20:56,13/09/21 21:21
Babylon Fell (Jade Serpent),4:20,Celtic Frost,Into the Pandemonium,Metal,0,,1,13/09/21 20:56,13/09/21 21:16
Tristesses de la Lune,3:00,Celtic Frost,Into the Pandemonium,Metal,0,,1,13/09/21 20:56,13/09/21 21:11
Inner Sanctum,5:16,Celtic Frost,Into the Pandemonium,Metal,0,,1,13/09/21 20:56,13/09/21 21:08
Mesmerized,3:25,Celtic Frost,Into the Pandemonium,Metal,0,,1,13/09/21 20:56,13/09/21 21:03
Mexican Radio,3:29,Celtic Frost,Into the Pandemonium,Metal,0,,1,13/09/21 20:56,13/09/21 20:59
"Hook, Line & Sinker",3:28,Royal Blood,How Did We Get So Dark?,Alternative,2,,10,29/06/17 23:39,12/09/21 16:32
Beautifully Unconventional,2:13,Wolf Alice,Visions of a Life,Alternative,0,,9,22/09/17 16:52,12/09/21 16:28
Did You See Butterflies?,3:45,Jane Weaver,Modern Kosmology,Pop,0,,6,21/05/17 19:11,12/09/21 16:22
No Care,2:53,Daughter,Not To Disappear,Alternative,2,,11,17/03/19 23:53,12/09/21 16:09
Train,2:58,Sylvan Esso,Free Love,Alternative,0,,4,17/11/20 0:47,12/09/21 16:06
Song for Dan Treacy,4:09,MGMT,Congratulations,Alternative,0,,4,29/09/20 16:51,09/09/21 16:17
This Is Not,4:50,Blonde Redhead,Melody of Certain Damaged Lemons,Alternative,0,,5,13/04/18 16:29,09/09/21 16:13
Vicious,3:01,Lou Reed,Transformer,New Wave,0,,3,30/06/15 18:58,09/09/21 12:23
Ada,4:03,The National,Boxer,Alternative,0,,3,08/09/14 0:22,09/09/21 12:20
Elysium,5:55,"Nick Ingman, Orchestra & Portishead",Portishead,Electronic,0,,1,06/09/15 22:22,09/09/21 8:16
Party With Children,2:58,Ratatat,LP4,Electronic,0,,1,24/06/21 19:10,08/09/21 17:07
The Hardest Button To Button,3:32,The White Stripes,Elephant,Garage Rock Revival,0,,1,30/06/15 18:58,08/09/21 17:04
My God Is the Sun,3:55,Queens of the Stone Age,...Like Clockwork,Alternative,0,,2,23/08/15 17:38,08/09/21 17:01
Creep,3:59,Radiohead,Pablo Honey,Alternative,0,,12,05/03/19 7:11,08/09/21 16:47
Wait in the Car,2:03,The Breeders,All Nerve,Alternative,0,,6,09/02/18 21:03,08/09/21 16:39
Dream State...,3:31,Lucy Dacus,No Burden,Alternative,0,,11,11/12/19 0:40,08/09/21 16:37
Apple Tree,2:55,Marika Hackman,I'm Not Your Man,Alternative,0,,4,09/11/19 22:44,08/09/21 16:34
Real Deal Momma,3:49,White Denim,Stiff,Rock,2,,7,12/10/16 23:43,08/09/21 16:18
Boys & Girls,3:26,Alabama Shakes,Boys & Girls,Alternative,0,,5,19/01/16 8:30,08/09/21 15:50
Waiting for a Sign,5:26,Savages,Silence Yourself,Alternative,0,,7,25/03/16 18:56,08/09/21 15:47
What New York Used To Be,3:16,The Kills,Midnight Boom,Alternative,2,,7,30/06/15 18:58,08/09/21 15:41
Birth In Reverse,3:16,St. Vincent,St. Vincent (Deluxe Edition),Alternative,0,,10,05/07/15 22:01,08/09/21 15:38
"Polyethylene, Pts. 1 & 2 (Remastered)",4:22,Radiohead,OK Computer OKNOTOK 1997 2017,Alternative,0,,4,23/06/17 21:46,08/09/21 15:35
Taken For a Fool,3:23,The Strokes,Angles,Alternative,0,,4,29/01/18 8:23,08/09/21 15:30
Well That Was Easy,3:02,Franz Ferdinand,You Could Have It So Much Better,Rock,0,,18,03/02/06 0:47,08/09/21 15:27
My Propeller,3:27,Arctic Monkeys,Humbug (Bonus Track Version),Alternative,0,,7,25/01/18 7:53,08/09/21 15:24
White Limo,3:22,Foo Fighters,Wasting Light,Alternative,0,,4,19/10/16 13:06,08/09/21 15:20
You Wonder,3:03,Dinosaur Jr.,Sweep It Into Space,Alternative,0,,5,25/04/21 11:35,08/09/21 15:11
Xian Man,4:07,Stephen Malkmus,Traditional Techniques,Alternative,0,,10,01/03/20 20:16,08/09/21 15:06
It Is Happening Again,3:40,Blood Red Shoes,Fire Like This,Alternative,0,,5,30/06/15 18:58,02/09/21 17:12
Wither,4:02,Son Lux,At War With Walls & Mazes,Electronic,0,,5,30/05/20 22:25,02/09/21 17:08
Meet Me In the Morning,4:21,Bob Dylan,Blood On The Tracks,Singer/Songwriter,2,,5,20/09/18 22:27,02/09/21 17:04
Dead Fox,3:33,Courtney Barnett,"Sometimes I Sit and Think, and Sometimes I Just Sit (Special Edition)",Alternative,0,,7,21/10/17 8:29,02/09/21 17:00
Free Me,4:39,Foo Fighters,In Your Honour,Alternative,0,,5,30/06/15 18:58,02/09/21 16:56
Motorway To Roswell,4:44,Pixies,Trompe Le Monde,Alternative & Punk,2,,5,30/06/15 18:58,02/09/21 16:51
Sky Musings,2:58,Wolf Alice,Visions of a Life,Alternative,0,,4,22/09/17 16:52,02/09/21 16:47
We're Where We Were,3:46,The Voidz,Virtue,Alternative,2,,7,19/01/20 0:41,02/09/21 16:44
Lane Boy,4:13,twenty one pilots,Blurryface,Alternative,2,,9,25/05/16 18:13,02/09/21 16:40
Electricityscape,3:33,The Strokes,First Impressions of Earth,Alternative,0,,19,29/01/06 21:36,02/09/21 16:36
Love Is a Deserter,3:49,The Kills,No Wow,Alternative,0,,4,27/09/17 7:47,02/09/21 16:29
Endgame,5:20,Angel Olsen,Song of the Lark and Other Far Memories,Alternative,0,,5,08/05/21 23:18,02/09/21 16:25
Kid A,4:45,Radiohead,Kid A,Alternative,0,,4,23/09/19 6:35,02/09/21 16:20
Killer,3:09,Phoebe Bridgers,Stranger in the Alps (Deluxe Edition),Alternative,0,,1,17/11/20 21:10,02/09/21 0:56
